id,type,name,variant,available,selection,description,characteristics,price,originalPrice,currency,thumbnail,images
,,Blockers,,,,,,,,,,
1,,"Блокаторы для носков (18, 22 размеры)",Листочки,4,"Размер:18,22;Стекло:Прозрачное,Белое",,<p>Блокаторы для носков из оргстекла толщиной 3мм.</p><p>Отлично подходят ВТО и для съемки изделия. В процессе вязания удобно примерять для отслеживания размера изделия.</p>,400,,руб.,https://firebasestorage.googleapis.com/v0/b/keshir-43f4f.appspot.com/o/blockers%2FIMG_4284.JPG?alt=media&token=b749b920-80a2-478a-b95f-56215dda36d0,https://firebasestorage.googleapis.com/v0/b/keshir-43f4f.appspot.com/o/blockers%2FIMG_4270.JPG?alt=media&token=45a9cd57-375d-44f8-8953-070ba4c3f646
2,,"Блокаторы для носков (18, 22 размеры)",Мышки,7,"Размер:18,22;Стекло:Прозрачное,Белое",,<p>Блокаторы для носков из оргстекла толщиной 3мм.</p><p>Отлично подходят ВТО и для съемки изделия. В процессе вязания удобно примерять для отслеживания размера изделия.</p>,400,,руб.,https://firebasestorage.googleapis.com/v0/b/keshir-43f4f.appspot.com/o/blockers%2FIMG_4284.JPG?alt=media&token=b749b920-80a2-478a-b95f-56215dda36d1,https://firebasestorage.googleapis.com/v0/b/keshir-43f4f.appspot.com/o/blockers%2FIMG_4276.JPG?alt=media&token=19344c62-09af-482e-9036-50b7c4f7e47d
3,,"Блокаторы для носков (18, 22 размеры)",Снежинки,4,"Размер:18,22;Стекло:Прозрачное,Белое",,<p>Блокаторы для носков из оргстекла толщиной 3мм.</p><p>Отлично подходят ВТО и для съемки изделия. В процессе вязания удобно примерять для отслеживания размера изделия.</p>,400,,руб.,https://firebasestorage.googleapis.com/v0/b/keshir-43f4f.appspot.com/o/blockers%2FIMG_4284.JPG?alt=media&token=b749b920-80a2-478a-b95f-56215dda36d2,https://firebasestorage.googleapis.com/v0/b/keshir-43f4f.appspot.com/o/blockers%2FIMG_4271.JPG?alt=media&token=5dea6971-7c27-4fff-a7e6-49ec780bb746
4,,"Блокаторы для носков (18, 22 размеры)",Рыбки,2,"Размер:18,22;Стекло:Прозрачное,Белое",,<p>Блокаторы для носков из оргстекла толщиной 3мм.</p><p>Отлично подходят ВТО и для съемки изделия. В процессе вязания удобно примерять для отслеживания размера изделия.</p>,400,,руб.,https://firebasestorage.googleapis.com/v0/b/keshir-43f4f.appspot.com/o/blockers%2FIMG_4284.JPG?alt=media&token=b749b920-80a2-478a-b95f-56215dda36d3,https://firebasestorage.googleapis.com/v0/b/keshir-43f4f.appspot.com/o/blockers%2FIMG_4272.JPG?alt=media&token=da796a99-e0bb-427c-ba76-1b644df20b6a
5,,"Блокаторы для носков (18, 22 размеры)",Сердечки,6,"Размер:18,22;Стекло:Прозрачное,Белое",,<p>Блокаторы для носков из оргстекла толщиной 3мм.</p><p>Отлично подходят ВТО и для съемки изделия. В процессе вязания удобно примерять для отслеживания размера изделия.</p>,400,,руб.,https://firebasestorage.googleapis.com/v0/b/keshir-43f4f.appspot.com/o/blockers%2FIMG_4284.JPG?alt=media&token=b749b920-80a2-478a-b95f-56215dda36d4,https://firebasestorage.googleapis.com/v0/b/keshir-43f4f.appspot.com/o/blockers%2FIMG_4226.JPG?alt=media&token=cdca1cbe-7a3f-4932-b6ba-efb51e9844be
6,,"Блокаторы для носков (18, 22 размеры)",Кружочки,0,"Размер:18,22;Стекло:Прозрачное,Белое",,<p>Блокаторы для носков из оргстекла толщиной 3мм.</p><p>Отлично подходят ВТО и для съемки изделия. В процессе вязания удобно примерять для отслеживания размера изделия.</p>,400,,руб.,https://firebasestorage.googleapis.com/v0/b/keshir-43f4f.appspot.com/o/blockers%2FIMG_4284.JPG?alt=media&token=b749b920-80a2-478a-b95f-56215dda36d5,https://firebasestorage.googleapis.com/v0/b/keshir-43f4f.appspot.com/o/blockers%2FIMG_4195.JPG?alt=media&token=84cfbdf6-8b8f-41b5-bec5-0509d213987b
7,,"Блокаторы для носков (26, 30 размеры)",Листочки,6,"Размер:26,30;Стекло:Прозрачное,Белое",,<p>Блокаторы для носков из оргстекла толщиной 3мм.</p><p>Отлично подходят ВТО и для съемки изделия. В процессе вязания удобно примерять для отслеживания размера изделия.</p>,600,,руб.,https://firebasestorage.googleapis.com/v0/b/keshir-43f4f.appspot.com/o/blockers%2FIMG_4298.JPG?alt=media&token=351c3ce4-518b-4217-83da-2b1736feddb1,https://firebasestorage.googleapis.com/v0/b/keshir-43f4f.appspot.com/o/blockers%2FIMG_4270.JPG?alt=media&token=45a9cd57-375d-44f8-8953-070ba4c3f646
8,,"Блокаторы для носков (26, 30 размеры)",Мышки,0,"Размер:26,30;Стекло:Прозрачное,Белое",,<p>Блокаторы для носков из оргстекла толщиной 3мм.</p><p>Отлично подходят ВТО и для съемки изделия. В процессе вязания удобно примерять для отслеживания размера изделия.</p>,600,,руб.,https://firebasestorage.googleapis.com/v0/b/keshir-43f4f.appspot.com/o/blockers%2FIMG_4298.JPG?alt=media&token=351c3ce4-518b-4217-83da-2b1736feddb2,https://firebasestorage.googleapis.com/v0/b/keshir-43f4f.appspot.com/o/blockers%2FIMG_4276.JPG?alt=media&token=19344c62-09af-482e-9036-50b7c4f7e47d
9,,"Блокаторы для носков (26, 30 размеры)",Снежинки,6,"Размер:26,30;Стекло:Прозрачное,Белое",,<p>Блокаторы для носков из оргстекла толщиной 3мм.</p><p>Отлично подходят ВТО и для съемки изделия. В процессе вязания удобно примерять для отслеживания размера изделия.</p>,600,,руб.,https://firebasestorage.googleapis.com/v0/b/keshir-43f4f.appspot.com/o/blockers%2FIMG_4298.JPG?alt=media&token=351c3ce4-518b-4217-83da-2b1736feddb3,https://firebasestorage.googleapis.com/v0/b/keshir-43f4f.appspot.com/o/blockers%2FIMG_4271.JPG?alt=media&token=5dea6971-7c27-4fff-a7e6-49ec780bb746
10,,"Блокаторы для носков (26, 30 размеры)",Рыбки,,"Размер:26,30;Стекло:Прозрачное,Белое",,<p>Блокаторы для носков из оргстекла толщиной 3мм.</p><p>Отлично подходят ВТО и для съемки изделия. В процессе вязания удобно примерять для отслеживания размера изделия.</p>,600,,руб.,https://firebasestorage.googleapis.com/v0/b/keshir-43f4f.appspot.com/o/blockers%2FIMG_4298.JPG?alt=media&token=351c3ce4-518b-4217-83da-2b1736feddb4,https://firebasestorage.googleapis.com/v0/b/keshir-43f4f.appspot.com/o/blockers%2FIMG_4272.JPG?alt=media&token=da796a99-e0bb-427c-ba76-1b644df20b6a
11,,"Блокаторы для носков (26, 30 размеры)",Сердечки,6,"Размер:26,30;Стекло:Прозрачное,Белое",,<p>Блокаторы для носков из оргстекла толщиной 3мм.</p><p>Отлично подходят ВТО и для съемки изделия. В процессе вязания удобно примерять для отслеживания размера изделия.</p>,600,,руб.,https://firebasestorage.googleapis.com/v0/b/keshir-43f4f.appspot.com/o/blockers%2FIMG_4298.JPG?alt=media&token=351c3ce4-518b-4217-83da-2b1736feddb5,https://firebasestorage.googleapis.com/v0/b/keshir-43f4f.appspot.com/o/blockers%2FIMG_4226.JPG?alt=media&token=cdca1cbe-7a3f-4932-b6ba-efb51e9844be
12,,"Блокаторы для носков (26, 30 размеры)",Кружочки,0,"Размер:26,30;Стекло:Прозрачное,Белое",,<p>Блокаторы для носков из оргстекла толщиной 3мм.</p><p>Отлично подходят ВТО и для съемки изделия. В процессе вязания удобно примерять для отслеживания размера изделия.</p>,600,,руб.,https://firebasestorage.googleapis.com/v0/b/keshir-43f4f.appspot.com/o/blockers%2FIMG_4298.JPG?alt=media&token=351c3ce4-518b-4217-83da-2b1736feddb6,https://firebasestorage.googleapis.com/v0/b/keshir-43f4f.appspot.com/o/blockers%2FIMG_4195.JPG?alt=media&token=84cfbdf6-8b8f-41b5-bec5-0509d213987b
